value,theta,probability,alternatives,prior_distribution,cost_of_adjective,utterance,speaker_lambda
3,1,0.00012744266159709912,pos_neg_null,shoe,7,adjective,7
3,3,0.0010699811172032413,pos_neg_null,shoe,7,adjective,7
3,2,0.0003287683421259225,pos_neg_null,shoe,7,adjective,7
2,2,0.00004871722557371328,pos_neg_null,shoe,7,adjective,7
2,1,0.00012719187399167682,pos_neg_null,shoe,7,adjective,7
4,4,0.005939611418809992,pos_neg_null,shoe,7,adjective,7
4,3,0.001093249678075907,pos_neg_null,shoe,7,adjective,7
4,2,0.0002676989739303333,pos_neg_null,shoe,7,adjective,7
4,1,0.00010376993576658637,pos_neg_null,shoe,7,adjective,7
1,1,5.836664213653933e-8,pos_neg_null,shoe,7,adjective,7
5,5,0.026344244148054453,pos_neg_null,shoe,7,adjective,7
5,4,0.0052791838653382,pos_neg_null,shoe,7,adjective,7
5,3,0.0009338403249223861,pos_neg_null,shoe,7,adjective,7
5,2,0.00022866514558363564,pos_neg_null,shoe,7,adjective,7
5,1,0.00008863899297367579,pos_neg_null,shoe,7,adjective,7
6,6,0.05408697684384991,pos_neg_null,shoe,7,adjective,7
6,5,0.019440536993699596,pos_neg_null,shoe,7,adjective,7
6,4,0.003860762261887704,pos_neg_null,shoe,7,adjective,7
6,3,0.000682934252159888,pos_neg_null,shoe,7,adjective,7
6,2,0.00016722694022361086,pos_neg_null,shoe,7,adjective,7
6,1,0.00006482329233717172,pos_neg_null,shoe,7,adjective,7
7,7,0.052061650316729956,pos_neg_null,shoe,7,adjective,7
7,6,0.04112804796292969,pos_neg_null,shoe,7,adjective,7
7,5,0.014762606385316693,pos_neg_null,shoe,7,adjective,7
7,4,0.002931756136057564,pos_neg_null,shoe,7,adjective,7
7,3,0.000518601392284298,pos_neg_null,shoe,7,adjective,7
7,2,0.0001269875156402375,pos_neg_null,shoe,7,adjective,7
7,1,0.00004922501624744813,pos_neg_null,shoe,7,adjective,7
8,8,0.04040787799237624,pos_neg_null,shoe,7,adjective,7
8,7,0.039104778006018234,pos_neg_null,shoe,7,adjective,7
8,6,0.03088855833567023,pos_neg_null,shoe,7,adjective,7
8,5,0.011087217874536596,pos_neg_null,shoe,7,adjective,7
8,4,0.002201848250036007,pos_neg_null,shoe,7,adjective,7
8,3,0.000389487227134431,pos_neg_null,shoe,7,adjective,7
8,2,0.00009537192935319417,pos_neg_null,shoe,7,adjective,7
8,1,0.000036969656019271645,pos_neg_null,shoe,7,adjective,7
9,1,0.0000291501732182079,pos_neg_null,shoe,7,adjective,7
9,6,0.024355293581204526,pos_neg_null,shoe,7,adjective,7
9,2,0.00007519973297428218,pos_neg_null,shoe,7,adjective,7
9,9,0.03198201344625081,pos_neg_null,shoe,7,adjective,7
9,8,0.031861478278749474,pos_neg_null,shoe,7,adjective,7
9,7,0.03083369377147522,pos_neg_null,shoe,7,adjective,7
9,5,0.008742151168035632,pos_neg_null,shoe,7,adjective,7
9,4,0.0017361334889158541,pos_neg_null,shoe,7,adjective,7
9,3,0.0003071064586408294,pos_neg_null,shoe,7,adjective,7
10,8,0.02401641319541031,pos_neg_null,shoe,7,adjective,7
10,4,0.001308655513953415,pos_neg_null,shoe,7,adjective,7
10,10,0.024117079631583445,pos_neg_null,shoe,7,adjective,7
10,9,0.02410728787421838,pos_neg_null,shoe,7,adjective,7
10,7,0.023241694044384496,pos_neg_null,shoe,7,adjective,7
10,6,0.018358432368527564,pos_neg_null,shoe,7,adjective,7
10,5,0.0065896225163009905,pos_neg_null,shoe,7,adjective,7
10,3,0.00023148943502149488,pos_neg_null,shoe,7,adjective,7
10,2,0.00005668374340620102,pos_neg_null,shoe,7,adjective,7
10,1,0.00002197269689125491,pos_neg_null,shoe,7,adjective,7
11,8,0.014265181529478945,pos_neg_null,shoe,7,adjective,7
11,4,0.0007773104299215999,pos_neg_null,shoe,7,adjective,7
11,10,0.014324975735354333,pos_neg_null,shoe,7,adjective,7
11,7,0.013805016673310536,pos_neg_null,shoe,7,adjective,7
11,6,0.010904474710809693,pos_neg_null,shoe,7,adjective,7
11,1,0.000013051262371929452,pos_neg_null,shoe,7,adjective,7
11,11,0.014325464215885372,pos_neg_null,shoe,7,adjective,7
11,9,0.014319158939805895,pos_neg_null,shoe,7,adjective,7
11,5,0.003914079951944711,pos_neg_null,shoe,7,adjective,7
11,2,0.000033668803200570924,pos_neg_null,shoe,7,adjective,7
11,3,0.00013749925044465947,pos_neg_null,shoe,7,adjective,7
12,8,0.011275052950751872,pos_neg_null,shoe,7,adjective,7
12,9,0.011317716141425141,pos_neg_null,shoe,7,adjective,7
12,1,0.000010315583717849456,pos_neg_null,shoe,7,adjective,7
12,12,0.011322724118612017,pos_neg_null,shoe,7,adjective,7
12,3,0.00010867799517647366,pos_neg_null,shoe,7,adjective,7
12,10,0.011322313676877225,pos_neg_null,shoe,7,adjective,7
12,11,0.011322699799910452,pos_neg_null,shoe,7,adjective,7
12,2,0.000026611476208024484,pos_neg_null,shoe,7,adjective,7
12,7,0.010911343375191816,pos_neg_null,shoe,7,adjective,7
12,6,0.008618784802032922,pos_neg_null,shoe,7,adjective,7
12,4,0.0006143781793751793,pos_neg_null,shoe,7,adjective,7
12,5,0.003093648589080717,pos_neg_null,shoe,7,adjective,7
13,1,0.000007736944905884567,pos_neg_null,shoe,7,adjective,7
13,5,0.0023203135514734442,pos_neg_null,shoe,7,adjective,7
13,4,0.00046079894800120564,pos_neg_null,shoe,7,adjective,7
13,2,0.000019959270451121567,pos_neg_null,shoe,7,adjective,7
13,10,0.008492017468053168,pos_neg_null,shoe,7,adjective,7
13,8,0.008456570745478346,pos_neg_null,shoe,7,adjective,7
13,6,0.006464303426050398,pos_neg_null,shoe,7,adjective,7
13,12,0.008492325311775,pos_neg_null,shoe,7,adjective,7
13,3,0.00008151120519795975,pos_neg_null,shoe,7,adjective,7
13,7,0.008183779498291662,pos_neg_null,shoe,7,adjective,7
13,13,0.008492327131025086,pos_neg_null,shoe,7,adjective,7
13,11,0.008492307069952264,pos_neg_null,shoe,7,adjective,7
13,9,0.00848856920186984,pos_neg_null,shoe,7,adjective,7
14,5,0.0023126041295776674,pos_neg_null,shoe,7,adjective,7
14,12,0.008464108901685473,pos_neg_null,shoe,7,adjective,7
14,9,0.008460365271747037,pos_neg_null,shoe,7,adjective,7
14,10,0.008463802080798305,pos_neg_null,shoe,7,adjective,7
14,13,0.008464110715038817,pos_neg_null,shoe,7,adjective,7
14,11,0.00846409072047261,pos_neg_null,shoe,7,adjective,7
14,6,0.006442825276107218,pos_neg_null,shoe,7,adjective,7
14,8,0.008428473132710891,pos_neg_null,shoe,7,adjective,7
14,3,0.00008124037789114816,pos_neg_null,shoe,7,adjective,7
14,1,0.000007711238305832173,pos_neg_null,shoe,7,adjective,7
14,4,0.0004592679077256292,pos_neg_null,shoe,7,adjective,7
14,7,0.008156588255619188,pos_neg_null,shoe,7,adjective,7
14,2,0.000019892954225651893,pos_neg_null,shoe,7,adjective,7
14,14,0.008464110849343976,pos_neg_null,shoe,7,adjective,7
15,1,0.0000072488517932216195,pos_neg_null,shoe,7,adjective,7
15,6,0.006056496207723313,pos_neg_null,shoe,7,adjective,7
15,10,0.007956289827596847,pos_neg_null,shoe,7,adjective,7
15,5,0.0021739341888866327,pos_neg_null,shoe,7,adjective,7
15,7,0.007667497366615864,pos_neg_null,shoe,7,adjective,7
15,3,0.00007636898713308526,pos_neg_null,shoe,7,adjective,7
15,2,0.000018700119383164437,pos_neg_null,shoe,7,adjective,7
15,4,0.0004317289732789286,pos_neg_null,shoe,7,adjective,7
15,8,0.00792307929790768,pos_neg_null,shoe,7,adjective,7
15,11,0.007956561159662815,pos_neg_null,shoe,7,adjective,7
15,14,0.007956580081560131,pos_neg_null,shoe,7,adjective,7
15,9,0.007953059098825906,pos_neg_null,shoe,7,adjective,7
15,13,0.007956579955301251,pos_neg_null,shoe,7,adjective,7
15,15,0.007956580088728375,pos_neg_null,shoe,7,adjective,7
15,12,0.007956578250681435,pos_neg_null,shoe,7,adjective,7
3,1,0.010670820732575963,pos_neg_null,shoe,7,prior,7
3,14,0.010670820732575963,pos_neg_null,shoe,7,prior,7
3,12,0.010670820732575963,pos_neg_null,shoe,7,prior,7
3,13,0.010670820732575963,pos_neg_null,shoe,7,prior,7
3,10,0.010670820732575963,pos_neg_null,shoe,7,prior,7
3,11,0.010670820732575963,pos_neg_null,shoe,7,prior,7
3,9,0.010670820732575963,pos_neg_null,shoe,7,prior,7
3,8,0.010670820732575963,pos_neg_null,shoe,7,prior,7
3,7,0.010670820732575963,pos_neg_null,shoe,7,prior,7
3,6,0.010670820732575963,pos_neg_null,shoe,7,prior,7
3,5,0.010670820732575963,pos_neg_null,shoe,7,prior,7
3,4,0.010670820732575963,pos_neg_null,shoe,7,prior,7
3,3,0.010670820732575963,pos_neg_null,shoe,7,prior,7
3,15,0.010670820732575963,pos_neg_null,shoe,7,prior,7
3,2,0.010670820732575963,pos_neg_null,shoe,7,prior,7
2,3,0.010649822194520698,pos_neg_null,shoe,7,prior,7
2,2,0.010649822194520698,pos_neg_null,shoe,7,prior,7
2,1,0.010649822194520698,pos_neg_null,shoe,7,prior,7
2,14,0.010649822194520698,pos_neg_null,shoe,7,prior,7
2,15,0.010649822194520698,pos_neg_null,shoe,7,prior,7
2,13,0.010649822194520698,pos_neg_null,shoe,7,prior,7
2,12,0.010649822194520698,pos_neg_null,shoe,7,prior,7
2,11,0.010649822194520698,pos_neg_null,shoe,7,prior,7
2,10,0.010649822194520698,pos_neg_null,shoe,7,prior,7
2,9,0.010649822194520698,pos_neg_null,shoe,7,prior,7
2,8,0.010649822194520698,pos_neg_null,shoe,7,prior,7
2,7,0.010649822194520698,pos_neg_null,shoe,7,prior,7
2,6,0.010649822194520698,pos_neg_null,shoe,7,prior,7
2,5,0.010649822194520698,pos_neg_null,shoe,7,prior,7
2,4,0.010649822194520698,pos_neg_null,shoe,7,prior,7
4,14,0.008688694728432828,pos_neg_null,shoe,7,prior,7
4,13,0.008688694728432828,pos_neg_null,shoe,7,prior,7
4,12,0.008688694728432828,pos_neg_null,shoe,7,prior,7
4,11,0.008688694728432828,pos_neg_null,shoe,7,prior,7
4,10,0.008688694728432828,pos_neg_null,shoe,7,prior,7
4,9,0.008688694728432828,pos_neg_null,shoe,7,prior,7
4,8,0.008688694728432828,pos_neg_null,shoe,7,prior,7
4,7,0.008688694728432828,pos_neg_null,shoe,7,prior,7
4,6,0.008688694728432828,pos_neg_null,shoe,7,prior,7
