value,theta,probability,alternatives,prior_distribution,cost_of_adjective,utterance,speaker_lambda
3,1,0.00011214048260349327,pos_neg_null,trav,7,adjective,7
3,3,0.00006234286536412058,pos_neg_null,trav,7,adjective,7
3,2,0.0001733870714786317,pos_neg_null,trav,7,adjective,7
4,3,0.00032726502649789636,pos_neg_null,trav,7,adjective,7
4,2,0.00015896404585342074,pos_neg_null,trav,7,adjective,7
4,1,0.00010281219162758255,pos_neg_null,trav,7,adjective,7
4,4,0.0008596643023695327,pos_neg_null,trav,7,adjective,7
5,5,0.0041191874080591705,pos_neg_null,trav,7,adjective,7
5,4,0.001084123080495923,pos_neg_null,trav,7,adjective,7
5,3,0.0003028955523590662,pos_neg_null,trav,7,adjective,7
5,2,0.00014712694169999652,pos_neg_null,trav,7,adjective,7
5,1,0.00009515638106989433,pos_neg_null,trav,7,adjective,7
6,6,0.01625369566002268,pos_neg_null,trav,7,adjective,7
6,5,0.003748846759894807,pos_neg_null,trav,7,adjective,7
6,4,0.0009297730690763059,pos_neg_null,trav,7,adjective,7
6,3,0.0002597713602754632,pos_neg_null,trav,7,adjective,7
6,2,0.00012618001644761718,pos_neg_null,trav,7,adjective,7
6,1,0.00008160866792825668,pos_neg_null,trav,7,adjective,7
2,2,2.3918480904973743e-7,pos_neg_null,trav,7,adjective,7
2,1,0.00007293915714161634,pos_neg_null,trav,7,adjective,7
7,7,0.045217103434236364,pos_neg_null,trav,7,adjective,7
7,6,0.014466134764387252,pos_neg_null,trav,7,adjective,7
7,5,0.0032857412336092955,pos_neg_null,trav,7,adjective,7
7,4,0.0008149156011512236,pos_neg_null,trav,7,adjective,7
7,3,0.00022768107752471064,pos_neg_null,trav,7,adjective,7
7,2,0.00011059264607312729,pos_neg_null,trav,7,adjective,7
7,1,0.00007152732090850444,pos_neg_null,trav,7,adjective,7
8,8,0.05677403861441345,pos_neg_null,trav,7,adjective,7
8,7,0.035804602802881745,pos_neg_null,trav,7,adjective,7
8,6,0.011418212605939395,pos_neg_null,trav,7,adjective,7
8,5,0.002593456551076295,pos_neg_null,trav,7,adjective,7
8,4,0.000643218091175839,pos_neg_null,trav,7,adjective,7
8,3,0.00017971012933783024,pos_neg_null,trav,7,adjective,7
8,2,0.00008729148221576543,pos_neg_null,trav,7,adjective,7
8,1,0.000056456971441821776,pos_neg_null,trav,7,adjective,7
1,1,1.541395609963216e-10,pos_neg_null,trav,7,adjective,7
9,1,0.00004477527128171269,pos_neg_null,trav,7,adjective,7
9,6,0.009055632173079795,pos_neg_null,trav,7,adjective,7
9,2,0.00006922971064470513,pos_neg_null,trav,7,adjective,7
9,9,0.04867116992022036,pos_neg_null,trav,7,adjective,7
9,8,0.045041705126816454,pos_neg_null,trav,7,adjective,7
9,7,0.028396153082441526,pos_neg_null,trav,7,adjective,7
9,5,0.002056835810816369,pos_neg_null,trav,7,adjective,7
9,4,0.0005101276917657897,pos_neg_null,trav,7,adjective,7
9,3,0.00014252570741356494,pos_neg_null,trav,7,adjective,7
10,8,0.028339715833180727,pos_neg_null,trav,7,adjective,7
10,4,0.0003209663973105587,pos_neg_null,trav,7,adjective,7
10,10,0.030897344945981595,pos_neg_null,trav,7,adjective,7
10,9,0.03062406612512226,pos_neg_null,trav,7,adjective,7
10,7,0.017866528517206964,pos_neg_null,trav,7,adjective,7
10,6,0.005697698205525946,pos_neg_null,trav,7,adjective,7
10,5,0.0012941371164774463,pos_neg_null,trav,7,adjective,7
10,3,0.0000896755137411238,pos_neg_null,trav,7,adjective,7
10,2,0.000043558526955414754,pos_neg_null,trav,7,adjective,7
10,1,0.000028172078763550976,pos_neg_null,trav,7,adjective,7
11,6,0.003947379721025457,pos_neg_null,trav,7,adjective,7
11,10,0.021405791345416175,pos_neg_null,trav,7,adjective,7
11,9,0.021216430431574954,pos_neg_null,trav,7,adjective,7
11,5,0.0008965814659777933,pos_neg_null,trav,7,adjective,7
11,4,0.00022236633148549773,pos_neg_null,trav,7,adjective,7
11,3,0.00006212742262672697,pos_neg_null,trav,7,adjective,7
11,11,0.02142128062100955,pos_neg_null,trav,7,adjective,7
11,1,0.000019517687388658133,pos_neg_null,trav,7,adjective,7
11,2,0.000030177457594153927,pos_neg_null,trav,7,adjective,7
11,8,0.019633826774297494,pos_neg_null,trav,7,adjective,7
11,7,0.012377976124735098,pos_neg_null,trav,7,adjective,7
12,12,0.018133716518190384,pos_neg_null,trav,7,adjective,7
12,8,0.0166192494910207,pos_neg_null,trav,7,adjective,7
12,9,0.017958860221422346,pos_neg_null,trav,7,adjective,7
12,10,0.01811914666517842,pos_neg_null,trav,7,adjective,7
12,4,0.0001882242103815613,pos_neg_null,trav,7,adjective,7
12,6,0.0033412991350925845,pos_neg_null,trav,7,adjective,7
12,11,0.018132260309482423,pos_neg_null,trav,7,adjective,7
12,7,0.010477461972933706,pos_neg_null,trav,7,adjective,7
12,5,0.0007589203695947905,pos_neg_null,trav,7,adjective,7
12,1,0.000016520942143815147,pos_neg_null,trav,7,adjective,7
12,3,0.000052588379674374295,pos_neg_null,trav,7,adjective,7
12,2,0.000025544011492374104,pos_neg_null,trav,7,adjective,7
13,11,0.016367912883825667,pos_neg_null,trav,7,adjective,7
13,6,0.003016176264213283,pos_neg_null,trav,7,adjective,7
13,2,0.000023058468589929237,pos_neg_null,trav,7,adjective,7
13,10,0.01635607525388357,pos_neg_null,trav,7,adjective,7
13,8,0.015002124568073535,pos_neg_null,trav,7,adjective,7
13,3,0.000047471302668292576,pos_neg_null,trav,7,adjective,7
