value,theta,probability,alternatives,prior_distribution,cost_of_adjective,utterance,speaker_lambda
4,1,0.00011301314343480445,pos_neg_null,tv,7,adjective,7
4,4,0.0009299643092231695,pos_neg_null,tv,7,adjective,7
4,3,0.00043112566117834133,pos_neg_null,tv,7,adjective,7
4,2,0.00020447638827792724,pos_neg_null,tv,7,adjective,7
5,3,0.00041200615539159475,pos_neg_null,tv,7,adjective,7
5,2,0.00019540829551293614,pos_neg_null,tv,7,adjective,7
5,1,0.00010800125097640972,pos_neg_null,tv,7,adjective,7
5,5,0.0045656756149659835,pos_neg_null,tv,7,adjective,7
5,4,0.0012221520384975114,pos_neg_null,tv,7,adjective,7
3,3,0.00006899471210518597,pos_neg_null,tv,7,adjective,7
3,2,0.00018983526774523688,pos_neg_null,tv,7,adjective,7
3,1,0.00010492106459507932,pos_neg_null,tv,7,adjective,7
6,6,0.018069138491877912,pos_neg_null,tv,7,adjective,7
6,5,0.00404116516388257,pos_neg_null,tv,7,adjective,7
6,4,0.001019730478675443,pos_neg_null,tv,7,adjective,7
6,3,0.00034376674981551725,pos_neg_null,tv,7,adjective,7
6,2,0.00016304337630981627,pos_neg_null,tv,7,adjective,7
6,1,0.00009011331150837402,pos_neg_null,tv,7,adjective,7
7,7,0.054981103827789535,pos_neg_null,tv,7,adjective,7
7,6,0.017717995174985342,pos_neg_null,tv,7,adjective,7
7,5,0.0039023185371179735,pos_neg_null,tv,7,adjective,7
7,4,0.0009846945097329834,pos_neg_null,tv,7,adjective,7
7,3,0.0003319555885117664,pos_neg_null,tv,7,adjective,7
7,2,0.00015744152092928064,pos_neg_null,tv,7,adjective,7
7,1,0.0000870171922402609,pos_neg_null,tv,7,adjective,7
2,2,7.927253609291873e-7,pos_neg_null,tv,7,adjective,7
2,1,0.00008174089637891327,pos_neg_null,tv,7,adjective,7
1,1,1.8425327117912393e-9,pos_neg_null,tv,7,adjective,7
8,7,0.04071397951485126,pos_neg_null,tv,7,adjective,7
8,6,0.013081569002531983,pos_neg_null,tv,7,adjective,7
8,5,0.002881163964038075,pos_neg_null,tv,7,adjective,7
8,3,0.00024508980242999673,pos_neg_null,tv,7,adjective,7
8,2,0.00011624239083255449,pos_neg_null,tv,7,adjective,7
8,1,0.00006424662573024451,pos_neg_null,tv,7,adjective,7
8,8,0.06574936056317722,pos_neg_null,tv,7,adjective,7
8,4,0.0007270206955283817,pos_neg_null,tv,7,adjective,7
9,1,0.00004812496547275387,pos_neg_null,tv,7,adjective,7
9,6,0.009798959080273296,pos_neg_null,tv,7,adjective,7
9,2,0.00008707322729719029,pos_neg_null,tv,7,adjective,7
9,9,0.0524758423134091,pos_neg_null,tv,7,adjective,7
9,8,0.04926271650085596,pos_neg_null,tv,7,adjective,7
